txn_id,date,amount,currency,merchant,category,status,code
84290,2024-11-09,3444.96,USD,Northwind Supply,grocery,paid,35
84964,2023-07-15,3051.29,EUR,Orchard and Vine,hardware,pending,20
85926,2024-04-16,696.36,USD,Northwind Supply,utilities,chargeback,78
88062,2023-12-18,4408.63,GBP,Statler Hardware,apparel,paid,17
88852,2024-04-28,1146.71,USD,Petit Marché,hardware,pending,95
90030,2024-03-04,739.27,EUR,Kestrel Outfitters,grocery,refunded,80
90191,2024-01-20,3791.29,EUR,Petit Marché,apparel,paid,65
91164,2023-11-27,779.77,USD,Vela Cycles,hardware,pending,11
91224,2023-10-14,2411.25,GBP,Petit Marché,utilities,chargeback,75
91435,2024-09-16,4319.00,EUR,Kestrel Outfitters,grocery,refunded,53
92818,2023-10-04,2113.92,USD,Northwind Supply,fuel,chargeback,46
96569,2024-06-21,2876.83,GBP,Trailhead Sports,hardware,paid,50
97155,2023-02-12,4365.63,USD,Fjord Interiors,grocery,paid,62
97514,2024-08-16,596.13,USD,Petit Marché,travel,paid,39
98013,2024-06-16,1058.35,GBP,Trailhead Sports,travel,pending,92
98078,2024-03-05,1938.09,USD,Nordic Fjäll,hardware,refunded,71
98440,2024-05-30,130.57,USD,Vela Cycles,apparel,pending,25
99926,2023-04-06,1961.09,EUR,Northwind Supply,apparel,chargeback,57
100225,2024-02-18,4243.11,GBP,Vela Cycles,utilities,paid,89
101981,2023-02-19,130.51,EUR,Northwind Supply,fuel,pending,23
102111,2023-10-17,2589.06,EUR,Statler Hardware,dining,paid,69
102178,2023-02-07,3787.10,USD,Café Norte,dining,refunded,93
102274,2023-07-15,104.12,EUR,Northwind Supply,dining,pending,40
103008,2024-04-04,2106.83,GBP,Orchard and Vine,utilities,refunded,25
103170,2024-06-03,131.18,EUR,Delta Pharmacy,grocery,pending,16
103598,2023-09-09,4088.56,EUR,Trailhead Sports,grocery,refunded,9
104799,2024-06-06,2490.69,GBP,Café Norte,utilities,paid,
105357,2023-04-19,3139.55,USD,Kestrel Outfitters,utilities,chargeback,34
105706,2023-04-28,4478.26,USD,Petit Marché,fuel,paid,84
106066,2024-05-23,907.85,EUR,Petit Marché,hardware,chargeback,32
106301,2023-09-02,2493.67,EUR,Statler Hardware,grocery,refunded,42
107179,2023-09-12,2019.67,USD,Vela Cycles,utilities,paid,4
107335,2024-04-29,2497.45,USD,Petit Marché,fuel,paid,50
108076,2024-04-15,3580.75,USD,Café Norte,hardware,chargeback,61
108473,2024-03-21,1299.15,USD,Delta Pharmacy,grocery,refunded,80
109015,2024-03-07,2148.09,EUR,Petit Marché,travel,refunded,28
109097,2024-05-03,626.04,GBP,Kestrel Outfitters,apparel,paid,6
110417,2024-01-10,2197.04,EUR,Blue Harbor Goods,travel,refunded,73
110839,2023-07-07,1043.14,USD,Statler Hardware,apparel,paid,51
111086,2023-07-17,4490.77,USD,Vela Cycles,hardware,paid,51
111426,2023-02-11,2922.50,USD,Trailhead Sports,utilities,pending,4
111612,2023-02-28,82.82,GBP,Statler Hardware,,paid,10
112195,2024-04-13,2302.66,USD,Blue Harbor Goods,travel,refunded,41
113075,2023-07-26,1201.98,GBP,Trailhead Sports,apparel,paid,
114237,2024-02-10,67.55,USD,Petit Marché,utilities,chargeback,20
114383,2024-02-03,789.14,EUR,Petit Marché,fuel,chargeback,4
114900,2024-05-05,4128.69,EUR,Blue Harbor Goods,grocery,paid,62
118428,2024-06-28,2668.09,GBP,Fjord Interiors,travel,paid,85
118614,2024-11-02,276.62,USD,Orchard and Vine,travel,refunded,87
120490,2023-03-07,561.84,EUR,Northwind Supply,hardware,refunded,48
120902,2023-11-28,2831.17,USD,Café Norte,apparel,refunded,16
123325,2024-08-21,559.94,EUR,Trailhead Sports,fuel,paid,44
123496,2023-06-17,2303.44,EUR,Fjord Interiors,fuel,chargeback,97
124199,2024-09-16,2774.08,USD,Vela Cycles,travel,pending,28
124257,2024-02-20,3516.73,USD,Fjord Interiors,grocery,refunded,54
125213,2024-08-10,4213.80,USD,Nordic Fjäll,hardware,refunded,95
125286,2023-04-10,3026.42,GBP,Statler Hardware,grocery,paid,9
125708,2023-06-01,2644.47,GBP,Northwind Supply,dining,pending,27
127017,2023-06-28,3716.82,GBP,Delta Pharmacy,utilities,refunded,11
127196,2024-01-31,2606.02,GBP,Orchard and Vine,utilities,refunded,23
129609,2023-05-25,4045.42,USD,Nordic Fjäll,hardware,refunded,57
129825,2023-01-12,289.47,GBP,Trailhead Sports,travel,refunded,63
131697,2023-12-13,753.91,GBP,Petit Marché,apparel,pending,55
132821,2023-01-02,2979.98,USD,Nordic Fjäll,utilities,paid,58
133153,2024-05-20,4789.36,EUR,Kestrel Outfitters,fuel,paid,95
133166,2023-03-22,1503.80,GBP,Fjord Interiors,apparel,chargeback,13
133945,2024-03-28,2326.31,GBP,Statler Hardware,hardware,paid,33
135648,2023-06-27,640.50,GBP,Orchard and Vine,,chargeback,48
136819,2024-01-28,296.23,EUR,Northwind Supply,apparel,paid,86
137421,2023-11-14,3239.93,EUR,Northwind Supply,hardware,refunded,17
138052,2024-07-28,2010.23,GBP,Blue Harbor Goods,fuel,chargeback,47
138108,2023-09-17,2636.68,USD,Blue Harbor Goods,utilities,chargeback,39
140296,2023-03-28,3655.96,GBP,Petit Marché,hardware,chargeback,79
142843,2024-01-19,1825.49,EUR,Northwind Supply,dining,chargeback,81
142925,2024-09-18,2382.46,USD,Vela Cycles,grocery,pending,95
143176,2024-02-16,4692.72,EUR,Blue Harbor Goods,hardware,refunded,26
143692,2023-12-29,4293.35,EUR,Petit Marché,apparel,chargeback,24
143877,2023-03-04,3395.81,USD,Blue Harbor Goods,dining,pending,85
143968,2024-09-08,4746.52,EUR,Trailhead Sports,fuel,refunded,88
144676,2023-06-04,1473.71,USD,Vela Cycles,apparel,pending,44
146438,2023-12-05,775.69,USD,Café Norte,travel,pending,
148217,2024-07-12,3628.50,EUR,Nordic Fjäll,fuel,chargeback,96
148847,2024-04-23,728.61,GBP,Petit Marché,hardware,paid,37
149633,2024-05-03,1225.45,USD,Petit Marché,utilities,refunded,39
149811,2024-06-03,3863.58,GBP,Fjord Interiors,grocery,refunded,74
150808,2024-08-20,1654.53,USD,Petit Marché,fuel,pending,12
152131,2023-12-02,378.11,USD,Delta Pharmacy,utilities,paid,81
153836,2023-01-03,4605.55,USD,Trailhead Sports,dining,paid,22
155007,2024-10-19,495.98,USD,Delta Pharmacy,apparel,pending,82
155677,2023-08-28,2013.22,EUR,Statler Hardware,hardware,paid,26
156338,2023-07-27,3089.06,EUR,Fjord Interiors,,refunded,80
158930,2023-12-19,1329.79,GBP,Statler Hardware,travel,refunded,46
159972,2023-09-17,553.42,USD,Petit Marché,utilities,paid,16
161043,2023-08-01,4650.16,GBP,Orchard and Vine,hardware,pending,57
163382,2024-10-09,4764.97,EUR,Delta Pharmacy,travel,chargeback,89
163761,2023-11-22,3617.35,GBP,Trailhead Sports,utilities,pending,93
164225,2023-06-17,244.14,USD,Delta Pharmacy,apparel,paid,67
164756,2023-07-11,2490.00,GBP,Northwind Supply,,refunded,2
165407,2024-09-24,4325.81,EUR,Orchard and Vine,fuel,refunded,24
169391,2024-08-17,2046.90,USD,Kestrel Outfitters,travel,paid,32
169566,2024-01-23,2528.02,GBP,Café Norte,travel,chargeback,55
169800,2024-07-14,3496.82,GBP,Orchard and Vine,grocery,paid,28
170530,2023-10-31,578.58,USD,Blue Harbor Goods,dining,paid,41
170736,2024-11-02,1150.03,USD,Café Norte,dining,paid,
170957,2024-06-14,1398.38,EUR,Northwind Supply,fuel,paid,72
172798,2023-12-02,974.34,GBP,Blue Harbor Goods,hardware,pending,93
173467,2023-10-04,3362.18,USD,Vela Cycles,utilities,paid,44
173486,2023-12-01,2245.49,EUR,Petit Marché,hardware,chargeback,1
173986,2024-03-08,1489.84,USD,Orchard and Vine,travel,chargeback,73
174753,2024-11-24,4293.21,GBP,Petit Marché,travel,paid,37
174902,2024-06-11,419.42,GBP,Nordic Fjäll,apparel,pending,96
176296,2024-01-08,4393.98,USD,Vela Cycles,grocery,chargeback,78
176795,2023-03-22,2041.33,USD,Orchard and Vine,apparel,paid,62
178669,2024-07-01,1884.08,GBP,Blue Harbor Goods,hardware,chargeback,10
178800,2023-05-27,4731.53,EUR,Delta Pharmacy,grocery,refunded,69
179752,2023-11-03,1566.99,EUR,Orchard and Vine,grocery,chargeback,13
180297,2024-02-17,4693.10,EUR,Trailhead Sports,fuel,pending,58
180926,2023-07-28,4586.51,USD,Nordic Fjäll,hardware,paid,
181371,2023-11-25,4489.28,EUR,Northwind Supply,hardware,refunded,11
181797,2023-11-02,4240.94,GBP,Orchard and Vine,hardware,refunded,1
183029,2024-09-28,1932.91,USD,Trailhead Sports,dining,paid,28
183376,2023-01-06,3965.39,GBP,Vela Cycles,hardware,paid,
184986,2024-04-20,1520.02,GBP,Blue Harbor Goods,utilities,chargeback,52
185067,2024-10-17,647.25,EUR,Kestrel Outfitters,travel,pending,56
187057,2024-03-08,4535.35,GBP,Orchard and Vine,hardware,pending,31
187488,2023-05-19,2183.86,USD,Vela Cycles,grocery,paid,28
188598,2023-07-29,4120.89,USD,Delta Pharmacy,grocery,chargeback,35
190590,2023-01-16,694.84,EUR,Nordic Fjäll,utilities,pending,28
190611,2023-03-31,3786.80,USD,Fjord Interiors,hardware,pending,17
191406,2024-07-21,885.95,GBP,Vela Cycles,fuel,pending,67
191958,2024-11-23,2138.19,GBP,Blue Harbor Goods,fuel,chargeback,25
191980,2023-12-21,2486.56,GBP,Trailhead Sports,dining,refunded,86
192213,2024-04-05,2128.30,GBP,Orchard and Vine,apparel,chargeback,
193461,2024-07-31,1554.04,EUR,Fjord Interiors,fuel,paid,19
194968,2024-04-20,609.72,EUR,Northwind Supply,apparel,refunded,78
195779,2024-06-08,3765.75,EUR,Northwind Supply,grocery,refunded,45
196345,2024-04-13,2047.59,GBP,Blue Harbor Goods,grocery,paid,73
196462,2023-04-29,4522.27,USD,Petit Marché,utilities,paid,72
197837,2023-04-14,2098.12,GBP,Statler Hardware,hardware,pending,2
198231,2024-03-27,132.52,USD,Delta Pharmacy,grocery,pending,27
198407,2024-03-19,3285.90,EUR,Statler Hardware,grocery,paid,13
201025,2024-05-16,1455.96,USD,Fjord Interiors,utilities,pending,4
201063,2023-07-28,363.79,EUR,Statler Hardware,fuel,pending,84
205770,2023-11-09,4777.32,EUR,Vela Cycles,fuel,refunded,24
207858,2024-04-18,3474.82,EUR,Vela Cycles,dining,paid,90
208081,2023-12-16,458.52,USD,Kestrel Outfitters,travel,refunded,
208340,2023-12-23,2763.55,USD,Café Norte,dining,chargeback,88
209478,2023-08-19,3496.92,GBP,Statler Hardware,dining,refunded,96
210413,2024-02-19,836.08,GBP,Blue Harbor Goods,apparel,pending,77
211532,2023-09-15,2028.02,USD,Kestrel Outfitters,fuel,chargeback,19
211865,2024-04-29,2216.44,USD,Kestrel Outfitters,hardware,paid,12
212319,2023-10-09,1800.35,GBP,Nordic Fjäll,,pending,51
213163,2023-12-06,2115.05,USD,Trailhead Sports,hardware,pending,89
213198,2023-12-17,4568.63,GBP,Orchard and Vine,utilities,refunded,15
213417,2024-06-03,3077.08,GBP,Blue Harbor Goods,utilities,pending,85
214501,2024-08-30,884.97,EUR,Café Norte,dining,refunded,71
214796,2024-09-08,467.09,EUR,Fjord Interiors,grocery,paid,66
214978,2024-08-06,3535.87,USD,Trailhead Sports,utilities,refunded,81
215168,2023-05-20,3138.65,EUR,Petit Marché,utilities,chargeback,43
216485,2023-10-30,3686.43,EUR,Orchard and Vine,hardware,paid,71
218178,2023-04-09,2282.92,GBP,Orchard and Vine,grocery,chargeback,
218225,2024-07-07,4531.21,GBP,Vela Cycles,dining,pending,58
218768,2023-03-17,2988.18,GBP,Delta Pharmacy,fuel,paid,73
218921,2023-05-30,1122.32,EUR,Café Norte,dining,chargeback,66
220504,2023-12-30,3976.08,EUR,Fjord Interiors,travel,chargeback,46
220660,2023-12-17,3166.31,GBP,Northwind Supply,hardware,pending,70
220683,2023-03-26,2670.36,GBP,Blue Harbor Goods,grocery,refunded,58
221064,2024-03-24,1139.92,EUR,Vela Cycles,utilities,chargeback,88
223910,2023-08-23,3292.99,GBP,Trailhead Sports,apparel,refunded,84
225851,2023-04-24,2735.00,USD,Orchard and Vine,apparel,paid,10
226020,2024-09-28,4503.18,EUR,Vela Cycles,grocery,pending,71
226576,2023-03-23,2818.49,USD,Delta Pharmacy,apparel,chargeback,15
226901,2023-05-10,4794.19,GBP,Petit Marché,dining,chargeback,90
226995,2024-07-19,64.50,GBP,Vela Cycles,dining,refunded,44
228040,2023-05-25,2896.29,EUR,Fjord Interiors,dining,refunded,50
228064,2023-04-16,2954.66,USD,Fjord Interiors,grocery,refunded,79
228085,2024-05-25,1799.78,USD,Delta Pharmacy,grocery,paid,39
228151,2024-01-02,3335.53,GBP,Blue Harbor Goods,travel,paid,87
229160,2024-06-25,4457.67,GBP,Delta Pharmacy,utilities,refunded,77
229490,2024-08-12,111.63,GBP,Northwind Supply,grocery,chargeback,10
230477,2023-10-14,3862.24,GBP,Vela Cycles,travel,refunded,7
231366,2024-05-30,4296.58,USD,Northwind Supply,apparel,chargeback,70
232081,2024-08-31,1616.00,GBP,Northwind Supply,fuel,pending,13
233078,2024-11-16,3977.45,GBP,Fjord Interiors,travel,paid,63
233420,2023-02-16,2714.45,USD,Orchard and Vine,hardware,refunded,39
234046,2024-01-06,1925.24,EUR,Nordic Fjäll,fuel,chargeback,96
235004,2023-01-26,4066.38,EUR,Orchard and Vine,apparel,paid,7
235324,2024-09-27,2667.81,EUR,Trailhead Sports,dining,paid,29
236540,2023-11-27,2634.31,USD,Vela Cycles,apparel,pending,45
237137,2023-06-25,2975.74,EUR,Trailhead Sports,grocery,paid,79
238387,2024-02-29,1254.87,GBP,Delta Pharmacy,hardware,paid,43
238561,2024-05-01,2789.89,EUR,Petit Marché,grocery,chargeback,56
238587,2024-05-20,4563.56,GBP,Delta Pharmacy,grocery,chargeback,23
239620,2023-12-19,679.56,EUR,Kestrel Outfitters,utilities,chargeback,55
239890,2023-11-12,4132.03,GBP,Café Norte,utilities,chargeback,57
240265,2024-05-28,2286.10,EUR,Fjord Interiors,,pending,42
240499,2024-05-19,2357.68,USD,Nordic Fjäll,,chargeback,88
241788,2024-01-20,1078.25,EUR,Kestrel Outfitters,dining,pending,80
243385,2023-10-08,903.64,EUR,Vela Cycles,fuel,chargeback,21
243448,2024-10-09,220.69,EUR,Blue Harbor Goods,grocery,pending,92
243665,2023-11-05,271.68,GBP,Blue Harbor Goods,travel,chargeback,78
244157,2023-12-14,2979.50,GBP,Nordic Fjäll,travel,chargeback,15
246428,2023-04-25,1941.82,USD,Orchard and Vine,apparel,chargeback,85
247386,2024-07-12,128.16,EUR,Nordic Fjäll,travel,chargeback,61
247580,2023-01-18,4381.38,EUR,Fjord Interiors,apparel,refunded,7
247997,2023-07-10,2771.67,EUR,Statler Hardware,utilities,paid,11
248066,2024-04-30,3440.20,GBP,Petit Marché,fuel,pending,64
249037,2024-09-27,3801.11,USD,Vela Cycles,hardware,paid,2
249185,2023-05-24,3551.47,USD,Fjord Interiors,apparel,refunded,3
249453,2024-01-10,4502.21,EUR,Blue Harbor Goods,apparel,paid,50
251246,2024-01-05,2322.07,GBP,Trailhead Sports,travel,chargeback,16
251622,2023-06-11,1661.13,EUR,Kestrel Outfitters,fuel,chargeback,22
252035,2024-11-27,1517.29,EUR,Vela Cycles,hardware,refunded,46
252242,2024-05-17,2190.97,USD,Statler Hardware,travel,pending,12
252662,2024-11-25,927.74,USD,Kestrel Outfitters,grocery,chargeback,77
255776,2023-04-06,913.32,EUR,Northwind Supply,dining,pending,19
256503,2023-10-24,750.07,GBP,Kestrel Outfitters,travel,chargeback,78
257124,2023-04-26,4436.05,USD,Orchard and Vine,dining,pending,58
257709,2023-10-25,2355.42,EUR,Fjord Interiors,fuel,paid,29
257808,2024-01-21,35.17,EUR,Statler Hardware,,chargeback,71
257966,2023-03-17,2012.15,EUR,Orchard and Vine,hardware,refunded,13
258739,2024-10-14,4021.56,GBP,Fjord Interiors,fuel,chargeback,48
261308,2024-05-18,1026.63,USD,Nordic Fjäll,grocery,chargeback,64
262361,2024-03-17,3785.52,USD,Nordic Fjäll,travel,chargeback,64
264086,2023-11-22,1775.84,USD,Northwind Supply,apparel,chargeback,14
268820,2023-04-26,4021.09,EUR,Petit Marché,apparel,paid,7
269508,2024-05-25,4209.42,EUR,Blue Harbor Goods,utilities,pending,60
269742,2023-04-27,104.20,USD,Trailhead Sports,,refunded,15
270910,2023-11-20,3660.67,GBP,Blue Harbor Goods,travel,pending,99
271550,2024-11-09,2487.32,GBP,Nordic Fjäll,hardware,chargeback,26
272366,2023-08-22,2045.51,USD,Vela Cycles,travel,pending,58
272935,2024-04-18,1552.47,GBP,Statler Hardware,fuel,chargeback,95
273808,2023-09-23,4080.35,GBP,Trailhead Sports,grocery,paid,
274314,2023-11-14,2874.83,EUR,Kestrel Outfitters,utilities,pending,20
274424,2023-04-15,4330.99,USD,Blue Harbor Goods,dining,pending,68
274486,2024-11-26,4220.91,GBP,Café Norte,utilities,pending,34
275423,2024-04-16,1447.87,USD,Orchard and Vine,apparel,chargeback,89
275893,2023-06-18,925.43,USD,Northwind Supply,dining,chargeback,28
276833,2023-02-22,2459.72,USD,Northwind Supply,utilities,paid,58
276869,2024-11-15,2671.05,USD,Café Norte,travel,refunded,42
277551,2023-02-05,414.86,EUR,Nordic Fjäll,hardware,paid,60
277873,2023-01-31,714.04,GBP,Delta Pharmacy,hardware,paid,47
278768,2023-08-13,2879.86,EUR,Petit Marché,fuel,paid,81
279770,2024-05-24,886.17,GBP,Fjord Interiors,hardware,pending,63
280281,2024-03-24,2470.86,EUR,Orchard and Vine,hardware,paid,18
280868,2023-08-17,1381.23,EUR,Nordic Fjäll,utilities,paid,66
280924,2023-07-30,2895.31,USD,Delta Pharmacy,grocery,paid,6
281955,2024-10-31,2365.74,USD,Delta Pharmacy,travel,chargeback,53
282109,2023-10-03,1237.62,EUR,Blue Harbor Goods,utilities,refunded,76
284578,2023-08-13,482.21,USD,Vela Cycles,,refunded,
284848,2023-11-05,3898.36,GBP,Orchard and Vine,fuel,paid,54
284851,2024-07-26,3004.15,GBP,Petit Marché,apparel,pending,72
285127,2024-11-01,895.76,GBP,Blue Harbor Goods,hardware,chargeback,24
286043,2023-04-29,3349.88,USD,Northwind Supply,dining,chargeback,8
286392,2024-04-18,1968.14,USD,Trailhead Sports,,pending,64
289419,2023-06-06,1220.61,GBP,Nordic Fjäll,hardware,paid,79
290067,2024-10-30,370.92,EUR,Vela Cycles,apparel,chargeback,68
290366,2023-12-10,386.83,USD,Petit Marché,hardware,chargeback,26
290445,2024-03-21,1285.83,USD,Kestrel Outfitters,fuel,pending,48
290617,2024-05-12,4160.25,EUR,Vela Cycles,dining,chargeback,31
291260,2023-08-27,1663.15,EUR,Trailhead Sports,utilities,refunded,78
292172,2024-06-18,1349.48,EUR,Vela Cycles,travel,chargeback,20
293275,2024-09-22,748.17,USD,Fjord Interiors,travel,paid,91
293372,2024-03-31,2837.02,EUR,Blue Harbor Goods,grocery,paid,
293874,2023-07-04,1142.70,USD,Nordic Fjäll,travel,paid,23
294057,2024-07-23,2268.24,USD,Trailhead Sports,,paid,38
294084,2024-11-07,1714.42,GBP,Delta Pharmacy,travel,pending,84
294395,2023-11-13,4099.58,EUR,Northwind Supply,utilities,chargeback,24
294799,2024-05-11,4347.53,GBP,Fjord Interiors,,paid,30
296658,2024-05-29,770.50,GBP,Café Norte,utilities,pending,66
298758,2023-09-06,1487.59,EUR,Kestrel Outfitters,utilities,paid,99
299328,2023-06-06,729.26,GBP,Blue Harbor Goods,utilities,pending,87
299629,2024-11-22,4636.26,USD,Trailhead Sports,hardware,paid,35
299832,2024-08-10,975.21,USD,Trailhead Sports,apparel,chargeback,53
299854,2023-05-30,1619.40,USD,Delta Pharmacy,grocery,refunded,87
301425,2023-12-02,4157.29,USD,Delta Pharmacy,fuel,pending,94
302518,2023-06-01,4487.13,USD,Trailhead Sports,travel,chargeback,51
302896,2024-05-15,1315.10,GBP,Kestrel Outfitters,utilities,chargeback,70
303373,2023-04-16,3905.25,USD,Petit Marché,hardware,paid,66
304986,2023-05-01,1401.41,USD,Nordic Fjäll,travel,refunded,64
305712,2023-08-05,4645.23,EUR,Fjord Interiors,hardware,pending,33
306482,2024-02-18,645.33,USD,Kestrel Outfitters,travel,pending,69
308436,2023-08-13,1044.69,EUR,Northwind Supply,utilities,pending,24
309743,2024-08-17,3955.06,GBP,Blue Harbor Goods,travel,chargeback,37
309981,2023-03-16,1131.77,GBP,Northwind Supply,apparel,chargeback,83
310858,2023-07-05,2242.50,EUR,Petit Marché,grocery,paid,47
311004,2024-01-27,1401.99,EUR,Petit Marché,dining,pending,
312684,2023-01-12,1892.35,EUR,Kestrel Outfitters,utilities,paid,34
313906,2023-11-30,1211.98,EUR,Trailhead Sports,grocery,refunded,99
