respondent_id	gender	satisfaction	comment	submitted	income	field3
52350	prefer not to say	5	Support replied clear and unhurried and the price felt fair.	2023-05-04	42147.65	delta
52540	prefer not to say	5	Support replied hard to follow so no complaints here.	2023-08-26	81699.20	charlie
53471	prefer not to say	2	Support replied genuinely excellent and I would order again.	2024-08-01	106518.23	delta
53646	feaale	2	Support replied hard to follow but I still had questions.	2024-08-24	121328.32	bravo
54394	nonbinary	2	Onboarding was better than last time and I would order again.	2024-06-23	37759.78	bravo
55100	nonbinary	5	The rÃ©servation surprisingly straightforward so no complaints here.	2023-08-02	80100.07	alpha
58181​	prefer not to say	4	The manual was clear and unhurried though the packaging tore.	2024-11-15	40408.83	charlie
66962	nonbinary	2	Setup took genuinely excellent and I would order again.	2023-02-23	72942.75	charlie
67230	nonbinary	 3 	 Returns handling was well ahead of schedule and I would order again. 	2022-08-16	63599.56	alpha
67958	nonbinary	3	Delivery arrived confusing in places but I still had questions.	August 25, 2022	129094.61	(delta)
69597	prefer not to say	3	The manual was confusing in places and the price felt fair.	2023-05-11	100036.75	charlie
73223	female	3	Support replied hard to follow and support fixed it fast.	2024-07-30	58848.44	charlie
73315	nonbinary	4	Setup took later than promised so no complaints here.	2023-11-23	44677.18	delta
74691	male	3	Support replied about what I expected so no complaints here.	2022-11-19	58155.07	charlie
76360	male	5	Setup took hard to follow although shipping was slow.	2022-11-02	36194.64	alpha
78532	male	2	Delivery arrived well ahead of schedule though the packaging tore.	February 5, 2023	74614.76	charlie
79331	nonbinara	4	Setup took well ahead of schedule and I would order again.	2024-04-30	104882.97	delta
79714	male	1	Returns handling was better than last time though the packaging tore.	2022-08-13	80344.19	delta
81121	nonbinary	3	The réservation well ahead of schedule though the packaging tore.	2024-01-26	62930.56	alpha
 83578 	female	2	Packaging was about what I expected and support fixed it fast.	2023-09-28	82056.72	alpha
85266	female	5	Checkout felt genuinely excellent though the packaging tore.	2023-11-24	33994.90	alpha
86348	nonbinary	2	Delivery arrived genuinely excellent which cost me an afternoon.	June 16, 2022	62366.05	delta
86664	nonbinary	2	Onboarding was genuinely excellent but the invoice was wrong.	2024-05-02		bravo
92178	prefer not to say	5	Packaging was clear and unhurried so no complaints here.	2023-05-07	146757.63	charlie
94326	female	5	Returns handling was genuinely excellent and I would order again.	2023-07-03	111243.07	delta
97658	male	3	Packaging was confusing in places and support fixed it fast.	2024-03-10	91824.01	charlie
101594	prefer not to say	1	The cafÃ© order well ahead of schedule and support fixed it fast.	2023-12-20	146027.95	charlie
101857	male	5	The réservation better than last time so I upgraded the plan.	2024-06-29	103292.88	delta
107144	nonbinary	2	Checkout felt about what I expected although shipping was slow.	2024-09-17	24614.20	bravo
107901	male		The manual was later than promised so I upgraded the plan.	2023-06-05	NA	delta
115154	nonbinary	2	The café order better than last time but the invoice was wrong.	2024-09-13	102935.04	alpha
116770	female	1	The manual was genuinely excellent but the invoice was wrong.	2023-02-13	72060,59	charlie
117785	prefer not to say	3	The manual was later than promised so no complaints here.	2023-07-14	56869.10	alpha
118133	female	2	Delivery arrived well ahead of schedule and support fixed it fast.	2024-08-29	102147.08	alpha
118337	male	2	Delivery arrived better than last time although shipping was slow.	February 4, 2024	113660.66	delta
124224	female		Checkout felt confusing in places and the price felt fair.	2023-11-09	110524.33	alpha
124916	male	3	Packaging was clear and unhurried and I would order again.	2023-06-17	29711.87	alpha
127098	nonbinary	3	Delivery arrived better than last time but I still had questions.	2023-03-06	26598.87	charlie
128800	prefer  not to say	3	Delivery arrived genuinely excellent but the invoice was wrong.	2024-08-10	103555.15	delta
131127	nonbinary	3	Support replied later than promised and I would order again.	2024-08-06	60752.44	delta
132759	male	3	Returns handling was surprisingly straightforward so no complaints here.	February 2, 2024	117339.35	bravo
134840	prefer not to say	5	Packaging was about what I expected so no complaints here.	2023-01-10	111120.46	delta
135640	female	2	Returns handling was genuinely excellent and support fixed it fast.	2023-07-10	143109.05	delta
141687	male		Packaging was genuinely excellent and the price felt fair.	2023-10-18	130941.39	alpha
142498	female		The réservation surprisingly straightforward though the packaging tore.	2022-07-11	56761.56	alpha
148455	female	2	The café order later than promised and I would order again.	2022-08-21	70816.32	delta
151261	prefer not to say	1	Packaging was confusing in places so no complaints here.	2022-11-16	97995.80	bravo
151799	female		Returns handling was clear and unhurried so I upgraded the plan.	2023-06-05	94194.27	bravo
154393	female	5	Delivery arrived hard to follow and the price felt fair.	2023-04-17	101723.91	delta
156460	male	2	Support replied surprisingly straightforward so no complaints here.	2023-07-29	114478.61	alpha
157968	prefer not to say	2	Packaging was roughly average though the packaging tore.	2022-11-27	NA	delta
158051	nonbinary	4	Delivery arrived better than last time and the price felt fair.	2024-05-21		bravo
162150	prefer not to say	 4 	Setup took surprisingly straightforward though the packaging tore.	2023-02-20	41586.89	charlie
165734	nonbinary	1	Packaging was surprisingly straightforward but I still had questions.	2023-04-18	73460.16	delta
169673	female	4	The manual was surprisingly straightforward so I upgraded the plan.	2024-08-24	90966.03	delta
170098	prefer not to say	5	Packaging was better than last time but the invoice was wrong.	2023-07-21	42884.41	CHARLIE
171918	male	3	Returns handling was clear and unhurried and the price felt fair.	2023-10-06	136226.01	bravo
173380	male	4	The manual was surprisingly straightforward so no complaints here.	2022-06-12	72863.97	delta
174064	female	3	Onboarding was confusing in places which cost me an afternoon.	2022-08-25	136592.90	bravo
175308	prefer  not to say	4	Returns handling was genuinely excellent so no complaints here.	2024-02-07	138643.37	alpha
175837	nonbinary	4	The rÃ©servation about what I expected and I would order again.	2024-08-03	137712.13	bravo
178318	male	3	The manual was surprisingly straightforward and I would order again.	2022-07-17	139098.55	bravo
178398	nonbinary	5	The café order about what I expected although shipping was slow.	2023-01-14	80747.26	charlie
179991	prefer not to say	3	The manual was clear and unhurried although shipping was slow.	2023-12-23	46629.74	charlie
181432	male	2	The café order hard to follow but I still had questions.	2022-07-28	105825.08	delta
182227	prefer  not to say	3	Onboarding was hard to follow but I still had questions.	2023-07-18	39599.92	alpha
184037	prefer not to say	3	Support replied well ahead of schedule and I would order again.	2024-06-03	48686.10	charlie
184366	female	5	The réservation genuinely excellent but the invoice was wrong.	2022-07-03	111344.48	bravo
190487	prefer not to say	4	Checkout felt confusing in places but I still had questions.	2023-03-11	28298.54	alpha
191971	female	5	Returns handling was genuinely excellent although shipping was slow.	June 7, 2023	130208.60	delta
198433	nonbinary		Onboarding was confusing in places although shipping was slow.	2022-10-20		delta
198793	male	5	Setup took clear and unhurried and I would order again.	2023-08-22	67340.64	bravo
199367	male	3	Returns handling was confusing in places but I still had questions.	2023-04-24	58518.73	alpha
205063	female	3	Delivery arrived clear and unhurried which cost me an afternoon.	2023-07-09	62024.90	delta
205573	prefer not to say	2	Packaging was about what I expected and the price felt fair.	2024-06-02	53652.86	charlie
207977	male		Onboarding was later than promised though the packaging tore.	2023-12-15	114059.83	charlae
209974	nonbinary	2	Checkout felt better than last time so I upgraded the plan.	2024-04-19	75424.67	alpha
212563	female	3	Packaging was confusing in places so I upgraded the plan.	2022-08-17	128602.53	alpha
215744	nonbinary	1	The manual was about what I expected and support fixed it fast.	2022-12-12	107242.00	delta
216341	male		The manual was confusing in places and support fixed it fast.	2023-03-02	52059.85	charlie
217327	nonbinary	3	Setup took roughly average which cost me an afternoon.	2023-11-15	139226.07	delta
219416	prefer not to say	2	Returns handling was clear and unhurried but the invoice was wrong.	2024-04-04	130910.97	delta
222705	male	2	The réservation later than promised though the packaging tore.	2022-11-20	38255.67	bravo
225078	nonbinary	5	Onboarding was well ahead of schedule but the invoice was wrong.	2023-02-16	116941.27	delta
227094	female	NaN	Delivery arrived clear and unhurried and the price felt fair.	2024-03-09		charlie
228474	male	4	Returns handling was confusing in places but the invoice was wrong.	2023-11-19	131229.83	delta
231008	female	4	Checkout felt about what I expected and the price felt fair.	2022-07-16	41750.37	delta
233791	female	3	Onboarding was hard to follow and I would order again.	2024-07-09	55280.31	delta
235061	prefer not to say	3	The café order confusing in places so I upgraded the plan.	November 6, 2023	128902.76	bravo
235375	nonbinary	3	The manual was roughly average and I would order again.	2022-06-28	72099.11	delta
236677	nonbinary	4	Onboarding was roughly average so I upgraded the plan.	2023-12-16	64397.26	delta
237232	male	2	Checkout felt later than promised but the invoice was wrong.	2024-02-28	90294.05	delta
239005	prefer not to say	3	The manual was better than last time and I would order again.	2022-08-24	113617.15	charlie
  239620 	prefer  not to say	1	Support replied better than last time and I would order again.	2023-01-08	141064.43	delta
242426	female	3	Packaging was well ahead of schedule so no complaints here.	2023-08-19	144282.48	bravo
246293	nonbinary	5	Setup took better than last time but I still had questions.	2022-07-31	130775.14	charlie
'246310	female	5	Returns handling was later than promised but the invoice was wrong.	2024-05-05	56223.45	delta
247361	nonbinary	3	Delivery arrived clear and unhurried and I would order again.	2024-02-18	51885.27	CHARLIE
247501	nonbinary	2	Setup took confusing in places so no complaints here.	2024-02-01	107916.40	bravo
248537	nonbinary	1	The manual was surprisingly straightforward which cost me an afternoon.	2023-01-24	139216.63	alpha
254567	nonbinary	5	The café order about what I expected so I upgraded the plan.	August 4, 2024	34879.99	bravo
255925	nonbinary	4	Support replied later than promised and the price felt fair.	2022-08-22	83572.90	alpha
258599	nonbinary​	4	Checkout felt about what I expected but the invoice was wrong.	2024-02-07	126969.49	alpha
261139	female	NaN	Delivery arrived roughly average so I upgraded the plan.	2024-04-28	87923.38	delta
261536	prefer not to say	1	The manual was better than last time but I still had questions.	2022-06-25	139002.69	charlie
262300	prefer not to say	2	The café order hard to follow but the invoice was wrong.	2022-11-08	138,077.97	delta
264567	prefer not to say	3	Delivery arrived later than promised and I would order again.	2022-11-05	82363.26	charlie
266211	female	1	Setup took hard to follow so I upgraded the plan.	2023-06-22	30249.10	alpha
266905	prefer not to say		Support replied better than last time although shipping was slow.	2023-12-02		bravo
267004	female	5	Delivery arrived surprisingly straightforward though the packaging tore.	2023-06-03	142655.48	charlie
267530	male	1	Delivery arrived later than promised and support fixed it fast.	2023-03-18	122194.81	delta
'268425	prefer not to say	1	The café order hard to follow although shipping was slow.	2024-06-06	81097.00	alpha
269077	prefer not to say	1	Packaging was better than last time so no complaints here.	2023-06-23	€82803.70	bravo
269268	male	5	Delivery arrived genuinely excellent so I upgraded the plan.	2022-08-17	32741.77	alpha
271721	female	2	Support replied about what I expected but I still had questions.	2023-11-01	52572.75	alpha
276463	maae	2	Packaging was clear and unhurried and support fixed it fast.	2022-11-26	56004.16	bravo
278387	prefer not to say	3	Returns handling was better than last time which cost me an afternoon.	2022-08-19	115581.28	delta
278838	female	4	Delivery arrived about what I expected though the packaging tore.	2024-02-07	139633.17	delta
283247	prefer not to say	4	The café order surprisingly straightforward so no complaints here.	2023-02-22	146097.84	alpha
285336	male	1​	Delivery arrived about what I expected and support fixed it fast.	2023-01-16	141069.17	charlie
285982	nonbinary	5	Setup took surprisingly straightforward although shipping was slow.	2024-03-11	123995.53	delta
286124	male	3	The réservation better than last time but the invoice was wrong.	May 4, 2023		delta
288120	prefer not to say		Checkout felt clear and unhurried and I would order again.	2023-08-16		bravo
290743	female	1	Onboarding was genuinely excellent so no complaints here.	2023-04-23	78234.98	delta
290931	nonbinary	4	The cafÃ© order well ahead of schedule though the packaging tore.	2023-09-28	82002.14	bravo
291836	female	2	Onboarding was confusing in places and I would order again.	2024-07-09		charlie
293923	female	3	Support replied later than promised so no complaints here.	2022-06-28	99932.57	charlie
296852	male	4	Returns handling was genuinely excellent so I upgraded the plan.	2022-10-22	42570.12	charlie
297285	prefer not to say	4	Packaging was genuinely excellent but I still had questions.	2024-05-15	46585.65	bravo
303108	prefer not to say	3	Setup took genuinely excellent so no complaints here.	2023-05-02	117808.24	alpha
304380	female	2	Delivery arrived genuinely excellent so no complaints here.	2023-07-20	140373.54	charlie
304550	female	2	Support replied clear and unhurried which cost me an afternoon.	2024-04-26	115507.88	alpha
305011	male	3	Packaging was genuinely excellent but the invoice was wrong.	2024-05-24		bravo
306896	female	4	Checkout felt well ahead of schedule but I still had questions.	2022-06-20	80102.37	delta
308914	female	4	Delivery arrived well ahead of schedule but I still had questions.	2023-04-26	38569.21	delta
308935	prefer not to say	3	The cafÃ© order hard to follow and I would order again.	2023-02-02	109044.53	charlie
308942	female	3	The rÃ©servation about what I expected so no complaints here.	2023-09-21	31053.10	delta
311614	female	5	Setup took genuinely excellent but I still had questions.	2022-08-08	  76465.09 	charlie
312661	male	3	Packaging was better than last time and I would order again.	2023-01-28	€135974.85	charlie
313579	nonbinary	4	Onboarding was clear and unhurried which cost me an afternoon.	2022-10-04	135771.04	delta
320276	nonbinary		Setup took later than promised and support fixed it fast.	2022-08-29	36492.16	bravo
320393	male	4	Setup took well ahead of schedule which cost me an afternoon.	2024-05-05	37040.56	bravo
321329	female	4	Checkout felt better than last time but the invoice was wrong.	2024-07-24	30806.15	alpha
324323	prefer not to say	2	Setup took hard to follow and I would order again.	2023-07-03	58484.76	charlie
326254	prefer not to say	1	The réservation clear and unhurried but the invoice was wrong.	2023-01-06	41518.83	charlie
329107	female	5	Returns handling was surprisingly straightforward but the invoice was wrong.	2024-08-11	73481.16	bravo
329958	female	5	The réservation roughly average and I would order again.	2022-11-28	121176.02	delta
331311	male	5	Checkout felt surprisingly straightforward so I upgraded the plan.	2023-07-26	63916.18	delta
331827	male	3	The café order better than last time so no complaints here.	2023-08-17		charlie
332927	prefer not to say	2	Support replied later than promised but the invoice was wrong.	2023-07-22	#N/A	charlie
333220	nonbinary	3	Delivery arrived clear and unhurried but I still had questions.	2024-04-03	132950.43	delta
333971	prefer not to say	2	Checkout felt well ahead of schedule so I upgraded the plan.	2024-07-27	133087.13	bravo
337702	female	3	Checkout felt confusing in places but the invoice was wrong.	2024-05-14	115490.00	charlie
341264	prefer not to say	3	Setup took roughly average although shipping was slow.	2023-09-06	64045.70	alpha
342270	nonbinary	2	Delivery arrived well ahead of schedule and I would order again.	2023-12-17	97713.12	alpha
343059	female	3	Checkout felt genuinely excellent so I upgraded the plan.	2024-07-05	87874.43	alpha
344269	prefer not to say	null	Delivery arrived hard to follow though the packaging tore.	2023-08-30	139013.00	charlie
345082	female	3	Delivery arrived about what I expected and the price felt fair.	2024-01-20	111603.49	alaha
345233	nonbinary	4​	The café order roughly average and support fixed it fast.	2023-03-15	52,938.04	bravo
347558	nonbinary	'1	Packaging was about what I expected but the invoice was wrong.	2023-11-18	58773.16	dalta
350224	prefer not to say	25	Setup took clear and unhurried which cost me an afternoon.	2024-03-20	112746.61	alpha
358631	prefer not to say	1	Returns handling was better than last time so I upgraded the plan.	2023-11-20	51093.76	charlie
359116	prefer not to say	3	Checkout felt well ahead of schedule though the packaging tore.	2024-07-13	101413.57	bravo
359347	nonbinary	5	The manual was genuinely excellent so I upgraded the plan.	2022-08-05		alpha
360089	male	1	Delivery arrived better than last time so I upgraded the plan.	2024-03-19	107508.91	alpha
360213	female	3	The café order genuinely excellent though the packaging tore.	2023-03-23	119168.64	charlie
367026	prefer not to say​	5	Checkout felt better than last time but I still had questions.	2024-07-02	82743.96	alpha
367111	female	2	The réservation later than promised but I still had questions.	2022-12-12	102327.35	bravo
367402	prefer not to say	3	Checkout felt confusing in places although shipping was slow.	2023-07-07	76551.15	charlie
370629	male	5	Returns handling was genuinely excellent which cost me an afternoon.	2023-08-18	70668.99	charlie
371025	nonbinary	4	Setup took roughly average and I would order again.	2024-06-24	55279.21	bravo
373281	female	3	The café order well ahead of schedule although shipping was slow.	2023-06-09	45694.22	bravo
373799	male	5	Delivery arrived hard to follow but I still had questions.	2022-08-31	106557.56	bravo
376014	male	3	Support replied genuinely excellent but the invoice was wrong.	2023-04-02​	97666.19	bravo
379221	male		The cafÃ© order confusing in places though the packaging tore.	2024-08-23	81942.30	bravo
380018	male	5	The manual was better than last time though the packaging tore.	2024-03-08	133031.41	charlie
383476	nonbinary	2	The réservation hard to follow although shipping was slow.	2023-04-09	106882.49	alpha
384345	nonbinary	2	The café order surprisingly straightforward and support fixed it fast.	2022-11-06	123201.85	delta
384565	nonbinary	1	The manual was later than promised and support fixed it fast.	2022-08-19	140626.54	alpha
386556	male	2	The manual was roughly average which cost me an afternoon.	2023-08-14	128553.11	delta
389417	prefer not to say	5	  The manual was later than promised although shipping was slow. 	2022-10-07	26069.01	charlie
389731	male	4	The réservation clear and unhurried although shipping was slow.	2024-07-26	135951.87	(delta)
391537	prefer not to say	4	Delivery arrived surprisingly straightforward but I still had questions.	2024-08-13	49424.77	charlie
 391699 	female	3	Packaging was genuinely excellent although shipping was slow.	2023-06-08	41223.32	alpha
391868	nonbinary	1	Returns handling was surprisingly straightforward which cost me an afternoon.	2023-01-22	123896.27	charlie
393115	female	3	Returns handling was well ahead of schedule so no complaints here.	2023-08-11	128379.33	charlie
394485	prefer not to say	2	Packaging was later than promised which cost me an afternoon.	2024-03-19	null	delta
396949	nonbinary	3	Packaging was confusing in places but I still had questions.	2024-01-05	116398,04	delta
400525	prefer not to say	3	Checkout felt later than promised although shipping was slow.	2022-08-04	30378.72	bravo
402690	nonbinary	4	Checkout felt confusing in places so no complaints here.	2023-12-26	122948.68	alpha
403661	prefer not to say	1	Support replied roughly average so no complaints here.	2023-03-12	41330.39	bravo
404558	male	3	  The manual was surprisingly straightforward but I still had questions. 	2024-05-16	72903.33	delta
406932	female	2	Returns handling was well ahead of schedule and the price felt fair.	2022-06-02	91104.14	charlie
408053	male	3	The café order roughly average which cost me an afternoon.	2023-01-09	66528.06	charlie
410705	male	2	Returns handling was later than promised although shipping was slow.	2022-09-11	79392.69	bravo
412568	male	1	Delivery arrived confusing in places which cost me an afternoon.	2023-12-01	54019.82	bravo
414917	male	4	Setup took roughly average but the invoice was wrong.	2023-08-02	58750.42	delta
'416826	prefer not to say	1	Support replied later than promised though the packaging tore.	2022-10-11	36370.79	delta
421901	female	3	Delivery arrived hard to follow although shipping was slow.	2023-03-02	111165.56	bravo
426477	male	3	Returns handling was genuinely excellent and the price felt fair.	2022-09-17	81614.74	delta
426501	prefer not to say	4	Delivery arrived confusing in places though the packaging tore.	2023-11-20	65960.46	bravo
428401	prefer not to say	5	The café order better than last time though the packaging tore.	2023-03-17	50298.35	charlie
429522	female	3	The réservation genuinely excellent though the packaging tore.	2023-03-26	104551.42	delta
435959	nonbinary	1	Checkout felt hard to follow but the invoice was wrong.	2024-07-23	57021.23	delta
439816	prefer not to say	2	The réservation later than promised although shipping was slow.	2022-11-13	'114382.42	charlie
444204	nonbinary	1	The manual was surprisingly straightforward but the invoice was wrong.	2024-10-13	€97219.62	bravo
444481	female	5	The café order surprisingly straightforward but the invoice was wrong.	January 31, 2023	102744.31	alpha
446097	male	2	Setup took surprisingly straightforward and support fixed it fast.	2023-02-07	77138.04	charlie
447054	prefer not to say	4	Returns handling was roughly average so I upgraded the plan.	2023-05-24	83586.81	bravo
447131	prefer not to say	4	Returns handling was later than promised so I upgraded the plan.	2022-12-08	135669.61	bravo
447298	nonbinary	2	Onboarding was later than promised so I upgraded the plan.	2023-10-26	140853.87	alpha
447527	male	4	The café order genuinely excellent but I still had questions.	2023-11-02	127044.36	bravo
449237	male	4	Delivery arrived genuinely excellent and I would order again.	2023-07-24	136548.49	CHARLIE
449810	female	4	The rÃ©servation about what I expected although shipping was slow.	2024-10-28	90102.24	alpha
454359	prefer not to say	5	Checkout felt about what I expected and I would order again.	2024-07-23	81042.96	charlie
454819	female	4	Support replied well ahead of schedule and support fixed it fast.	July 15, 2023	55214.34	bravo
455501	male	3	Returns handling was clear and unhurried which cost me an afternoon.	2023-10-12	68623.82	delta
459437	prefer not to say	4	Setup took confusing in places though the packaging tore.	2024-01-15	135820.01	alpha
460871	female​	4	Returns handling was about what I expected and support fixed it fast.	2024-01-10	48819.93	alpha
461315	prefer  not to say	5	Setup took later than promised and I would order again.	2023-10-04	127625.31	charlie
462125	nonbinary	2	The réservation surprisingly straightforward but I still had questions.	2024-01-04	36918.13	alpha
463497	female	5	Returns handling was well ahead of schedule and support fixed it fast.	2024-03-19	85441.76	charlie
463835	prefer not to say	3	Support replied genuinely excellent although shipping was slow.	2024-05-11	79223.58	delta
465872	female	3	Setup took better than last time which cost me an afternoon.	2022-09-03	89943.56	bravo
466689	female		Delivery arrived better than last time which cost me an afternoon.	2023-08-08	119988.28	alpha
467088	nonbinary	2	Setup took clear and unhurried but the invoice was wrong.	2024-10-08	85304.65	alpha
467398	male	1	Support replied well ahead of schedule but I still had questions.	2024-08-16	53952.30	bravo
467552	male	4	The café order roughly average and I would order again.	2022-08-15	93217.48	bravo
468446	nonbinary	2	Support replied about what I expected and I would order again.	2023-10-27	70519.10	bravo
473021	female	null	Support replied roughly average which cost me an afternoon.	2022-09-16	36282.44	delta
473451	male	2	Support replied hard to follow which cost me an afternoon.	November 8, 2023	135626.29	delta
473504	male	3	Onboarding was well ahead of schedule so no complaints here.	2024-06-25	80841.34	charlie
474252	nonbinary	4	Checkout felt hard to follow and the price felt fair.	2023-10-23	93171.30	delta
476948	prefer not to say	2	Onboarding was surprisingly straightforward so I upgraded the plan.	2024-03-25	70953.49	alpha
477914	prefer not to say	1	Setup took better than last time but the invoice was wrong.	2022-07-21	145153.10	delta
478560	FEMALE	3	The réservation surprisingly straightforward and I would order again.	2022-07-12	56405.89	alpha
478580	male	1	Delivery arrived about what I expected although shipping was slow.	2022-12-12	145435.29	delta
479207	prefer not to say	3	Setup took genuinely excellent though the packaging tore.	2023-04-16	106993.69	bravo
479808	nonbinary	5	The manual was hard to follow and the price felt fair.	2024-06-26	47587.87	delta
481132	prefer not to say	5	Onboarding was surprisingly straightforward although shipping was slow.	2024-04-21	76194.52	bravo
481141	(male)	3	The réservation well ahead of schedule but I still had questions.	2022-12-02	790917.70	bravo
481691	prefer not to say	3	The manual was genuinely excellent although shipping was slow.	2024-07-05	52967.06	bravo
482861	 prefer not to say 	1	Setup took clear and unhurried though the packaging tore.	2022-06-15	129391.19	charlie
483370	nonbinary	1	Delivery arrived about what I expected so no complaints here.	2023-04-22	58138.69	alpha
483600	male	4	Support replied confusing in places which cost me an afternoon.	2024-06-17	44009.44	charlie
487942	nonbinary	2	Packaging was roughly average and I would order again.	2024-02-18	92664.41	charlie
490489	nonbinary	2	The café order about what I expected which cost me an afternoon.	2022-07-23	109484.77	alpha
491306	male	4	Setup took hard to follow and support fixed it fast.	2022-08-17	42549.87	delta
492047	prefer not to say	2	The réservation genuinely excellent which cost me an afternoon.	2024-06-17	43146.03	charlie
492128	female	5	Checkout felt genuinely excellent and the price felt fair.	2022-08-29	125899.30	delta
493738	female	2	Returns handling was later than promised and I would order again.	2022-10-30	83127.41	charlie
494149	male	5	Support replied genuinely excellent and the price felt fair.	2023-01-23	113889.61	bravo
494941	prefer not to say	5	Setup took well ahead of schedule so no complaints here.	2023-04-10	'40909.05	charlie
495585	nonbinary	5	Checkout felt about what I expected and support fixed it fast.	2024-05-21	56646.21	bravo
497642	prefer not to say	3	Delivery arrived later than promised although shipping was slow.	2024-03-17	24608.30	bravo
498258	male	5	Setup took hard to follow though the packaging tore.	2024-04-13	42026.68	bravo
500232	female	1	Support replied well ahead of schedule but the invoice was wrong.	2024-01-30	105903.21	alpha
500264	female	5	Packaging was surprisingly straightforward which cost me an afternoon.	2023-02-04	45,234.32	delta
501221	nonbinary	1	Packaging was roughly average although shipping was slow.	2023-04-19	24936.35	delta
504326	female	5	Delivery arrived surprisingly straightforward which cost me an afternoon.	2024-10-04		delta
504574	female	5	Onboarding was better than last time although shipping was slow.	2023-12-17	€52676.99	delta
505178	  female 	3	Support replied better than last time which cost me an afternoon.	2024-03-02	125373.16	alpha
505770	female	1	Packaging was better than last time which cost me an afternoon.	April 14, 2024	74579.23	bravo
508865	female	5	Checkout felt confusing in places though the packaging tore.	2023-02-10	109589.02	bravo
509507	NONBINARY	3	Support replied genuinely excellent which cost me an afternoon.	2022-09-14	100719.87	delta
510170	prefer not to say	5	Packaging was clear and unhurried and the price felt fair.	2023-09-06	42682.19	bravo
511250	female	5	Returns handling was about what I expected but the invoice was wrong.	2022-09-08	50852.90	charlie
512619	female	3	Packaging was surprisingly straightforward and the price felt fair.	2023-04-06	140845.00	delta
 514583 	nonbinary	3	Returns handling was surprisingly straightforward and I would order again.	November 1, 2022	99314.94	charlie
517582	prefer not to say	3	Onboarding was about what I expected and the price felt fair.	June 2, 2023	112262.46	charlie
519694	nonbinary	1	Delivery arrived well ahead of schedule which cost me an afternoon.	2024-03-20	135124.52	bravo
521268	male	3	Returns handling was better than last time and I would order again.	2023-01-02	86610.29	bravo
521772	female	4	Setup took surprisingly straightforward and the price felt fair.	December 7, 2023	76899.09	alpha
528991	nonbinary	2	Setup took hard to follow so no complaints here.	2023-06-28	81767.71	delta
531367	prefer not to say	2	The manual was confusing in places and I would order again.	2023-04-11	30687.86	delta
531947	female	1	Onboarding was surprisingly straightforward but I still had questions.	2022-12-27	103164.76	charlie
532058	female	3	Checkout felt roughly average but the invoice was wrong.	2024-05-03	120109.40	charlie
532123	nonbinary	2	The manual was well ahead of schedule and support fixed it fast.	2022-10-20	31234.69	bravo
533425	nonbinary	3	The café order hard to follow so no complaints here.	2022-11-27	43773.33	bravo
533847	nonbinary	3	The réservation better than last time though the packaging tore.	2023-12-24	74779.67	charlie
534592	male	3	The café order hard to follow and the price felt fair.	2022-12-10	125257.60	charlie
536217	nonbinary	2	Returns handling was roughly average although shipping was slow.	December 26, 2022	105159.32	bravo
'536906	female	4	The manual was genuinely excellent so no complaints here.	January 24, 2024	37992.88	charlie
537321	male	1	The réservation clear and unhurried and support fixed it fast.	2022-09-18	54263,80	charlie
538193	male	2	The manual was roughly average but I still had questions.	2022-10-26	44639.04	charlie
